disease,symptom,probability
Gastroenteritis,frequent_urination,0.05
Gastroenteritis,weight_loss,0.05
Gastroenteritis,weight_gain,0.02
Gastroenteritis,high_blood_pressure,0.05
Gastroenteritis,nasal_congestion,0.02
Gastroenteritis,loss_of_smell,0.02
Gastroenteritis,loss_of_taste,0.02
Bronchitis,fever,0.35
Bronchitis,headache,0.25
Bronchitis,cough,0.95
Bronchitis,fatigue,0.50
Bronchitis,weakness,0.35
Bronchitis,nausea,0.05
Bronchitis,vomiting,0.02
Bronchitis,diarrhea,0.02
Bronchitis,abdominal_pain,0.02
Bronchitis,chest_pain,0.40
Bronchitis,shortness_of_breath,0.45
Bronchitis,sore_throat,0.30
Bronchitis,runny_nose,0.30
Bronchitis,sneezing,0.10
Bronchitis,body_pain,0.25
Bronchitis,chills,0.10
Bronchitis,sweating,0.10
Bronchitis,dizziness,0.05
Bronchitis,joint_pain,0.05
Bronchitis,muscle_pain,0.15
Bronchitis,skin_rash,0.02
Bronchitis,loss_of_appetite,0.20
Bronchitis,wheezing,0.35
Bronchitis,blurred_vision,0.02
Bronchitis,excessive_thirst,0.05
Bronchitis,frequent_urination,0.02
Bronchitis,weight_loss,0.05
Bronchitis,weight_gain,0.02
Bronchitis,high_blood_pressure,0.05
Bronchitis,nasal_congestion,0.35
Bronchitis,loss_of_smell,0.10
Bronchitis,loss_of_taste,0.05
Pneumonia,fever,0.90
Pneumonia,headache,0.35
Pneumonia,cough,0.90
Pneumonia,fatigue,0.70
Pneumonia,weakness,0.65
Pneumonia,nausea,0.15
Pneumonia,vomiting,0.05
Pneumonia,diarrhea,0.02
Pneumonia,abdominal_pain,0.02
Pneumonia,chest_pain,0.70
Pneumonia,shortness_of_breath,0.85
Pneumonia,sore_throat,0.15
Pneumonia,runny_nose,0.10
Pneumonia,sneezing,0.05
Pneumonia,body_pain,0.45
Pneumonia,chills,0.60
Pneumonia,sweating,0.30
Pneumonia,dizziness,0.20
Pneumonia,joint_pain,0.15
Pneumonia,muscle_pain,0.30
Pneumonia,skin_rash,0.02
Pneumonia,loss_of_appetite,0.50
Pneumonia,wheezing,0.15
Pneumonia,blurred_vision,0.05
Pneumonia,excessive_thirst,0.10
Pneumonia,frequent_urination,0.05
Pneumonia,weight_loss,0.05
Pneumonia,weight_gain,0.02
Pneumonia,high_blood_pressure,0.10
Pneumonia,nasal_congestion,0.10
Pneumonia,loss_of_smell,0.05
Pneumonia,loss_of_taste,0.05
Dengue,fever,1.00
Dengue,headache,0.85
Dengue,cough,0.10
Dengue,fatigue,0.70
Dengue,weakness,0.55
Dengue,nausea,0.40
Dengue,vomiting,0.40
Dengue,diarrhea,0.10
Dengue,abdominal_pain,0.25
Dengue,chest_pain,0.02
Dengue,shortness_of_breath,0.02
Dengue,sore_throat,0.15
Dengue,runny_nose,0.05
Dengue,sneezing,0.05
Dengue,body_pain,0.85
Dengue,chills,0.35
Dengue,sweating,0.20
Dengue,dizziness,0.20
Dengue,joint_pain,0.70
Dengue,muscle_pain,0.80
Dengue,skin_rash,0.50
Dengue,loss_of_appetite,0.50
Dengue,wheezing,0.02
Dengue,blurred_vision,0.05
Dengue,excessive_thirst,0.15
Dengue,frequent_urination,0.05
Dengue,weight_loss,0.02
Dengue,weight_gain,0.02
Dengue,high_blood_pressure,0.05
Dengue,nasal_congestion,0.05
Dengue,loss_of_smell,0.02
Dengue,loss_of_taste,0.02
Malaria,fever,1.00
Malaria,headache,0.80
Malaria,cough,0.10
Malaria,fatigue,0.80
Malaria,weakness,0.60
Malaria,nausea,0.50
Malaria,vomiting,0.45
Malaria,diarrhea,0.10
Malaria,abdominal_pain,0.15
Malaria,chest_pain,0.02
Malaria,shortness_of_breath,0.05
Malaria,sore_throat,0.10
Malaria,runny_nose,0.05
Malaria,sneezing,0.05
Malaria,body_pain,0.70
Malaria,chills,0.90
Malaria,sweating,0.80
Malaria,dizziness,0.30
Malaria,joint_pain,0.40
Malaria,muscle_pain,0.60
Malaria,skin_rash,0.05
Malaria,loss_of_appetite,0.60
Malaria,wheezing,0.02
Malaria,blurred_vision,0.05
Malaria,excessive_thirst,0.15
Malaria,frequent_urination,0.05
Malaria,weight_loss,0.05
Malaria,weight_gain,0.02
Malaria,high_blood_pressure,0.05
Malaria,nasal_congestion,0.05
Malaria,loss_of_smell,0.02
Malaria,loss_of_taste,0.02
Typhoid,fever,0.95
Typhoid,headache,0.65
Typhoid,cough,0.05
Typhoid,fatigue,0.80
Typhoid,weakness,0.80
Typhoid,nausea,0.40
Typhoid,vomiting,0.30
Typhoid,diarrhea,0.45
Typhoid,abdominal_pain,0.75
Typhoid,chest_pain,0.02
Typhoid,shortness_of_breath,0.02
Typhoid,sore_throat,0.05
Typhoid,runny_nose,0.02
Typhoid,sneezing,0.02
Typhoid,body_pain,0.40
Typhoid,chills,0.30
Typhoid,sweating,0.35
Typhoid,dizziness,0.15
Typhoid,joint_pain,0.10
Typhoid,muscle_pain,0.25
Typhoid,skin_rash,0.10
Typhoid,loss_of_appetite,0.80
Typhoid,wheezing,0.02
Typhoid,blurred_vision,0.05
Typhoid,excessive_thirst,0.15
Typhoid,frequent_urination,0.05
Typhoid,weight_loss,0.15
Typhoid,weight_gain,0.02
Typhoid,high_blood_pressure,0.05
Typhoid,nasal_congestion,0.02
Typhoid,loss_of_smell,0.02
Typhoid,loss_of_taste,0.02
Diabetes,fever,0.05
Diabetes,headache,0.20
Diabetes,cough,0.05
Diabetes,fatigue,0.75
Diabetes,weakness,0.50
Diabetes,nausea,0.15
Diabetes,vomiting,0.05
Diabetes,diarrhea,0.05
Diabetes,abdominal_pain,0.10
Diabetes,chest_pain,0.10
Diabetes,shortness_of_breath,0.10
Diabetes,sore_throat,0.02
Diabetes,runny_nose,0.02
Diabetes,sneezing,0.02
Diabetes,body_pain,0.10
Diabetes,chills,0.02
Diabetes,sweating,0.15
Diabetes,dizziness,0.30
Diabetes,joint_pain,0.10
Diabetes,muscle_pain,0.10
Diabetes,skin_rash,0.05
Diabetes,loss_of_appetite,0.15
Diabetes,wheezing,0.05
Diabetes,blurred_vision,0.60
Diabetes,excessive_thirst,0.95
Diabetes,frequent_urination,0.95
Diabetes,weight_loss,0.65
Diabetes,weight_gain,0.35
Diabetes,high_blood_pressure,0.30
Diabetes,nasal_congestion,0.02
Diabetes,loss_of_smell,0.02
Diabetes,loss_of_taste,0.05
Hypertension,fever,0.02
Hypertension,headache,0.50
Hypertension,cough,0.05
Hypertension,fatigue,0.40
Hypertension,weakness,0.25
Hypertension,nausea,0.10
Hypertension,vomiting,0.05
Hypertension,diarrhea,0.02
Hypertension,abdominal_pain,0.05
Hypertension,chest_pain,0.20
Hypertension,shortness_of_breath,0.20
Hypertension,sore_throat,0.02
Hypertension,runny_nose,0.02
Hypertension,sneezing,0.02
Hypertension,body_pain,0.10
Hypertension,chills,0.02
Hypertension,sweating,0.20
Hypertension,dizziness,0.55
Hypertension,joint_pain,0.05
Hypertension,muscle_pain,0.10
Hypertension,skin_rash,0.02
Hypertension,loss_of_appetite,0.10
Hypertension,wheezing,0.05
Hypertension,blurred_vision,0.35
Hypertension,excessive_thirst,0.20
Hypertension,frequent_urination,0.20
Hypertension,weight_loss,0.05
Hypertension,weight_gain,0.20
Hypertension,high_blood_pressure,1.00
Hypertension,nasal_congestion,0.02
Hypertension,loss_of_smell,0.02
Hypertension,loss_of_taste,0.02
Asthma,fever,0.05
Asthma,headache,0.10
Asthma,cough,0.85
Asthma,fatigue,0.30
Asthma,weakness,0.15
Asthma,nausea,0.05
Asthma,vomiting,0.02
Asthma,diarrhea,0.02
Asthma,abdominal_pain,0.02
Asthma,chest_pain,0.45
Asthma,shortness_of_breath,0.95
Asthma,sore_throat,0.10
Asthma,runny_nose,0.20
Asthma,sneezing,0.15
Asthma,body_pain,0.05
Asthma,chills,0.02
Asthma,sweating,0.10
Asthma,dizziness,0.15
Asthma,joint_pain,0.02
Asthma,muscle_pain,0.05
Asthma,skin_rash,0.05
Asthma,loss_of_appetite,0.05
Asthma,wheezing,1.00
Asthma,blurred_vision,0.02
Asthma,excessive_thirst,0.05
Asthma,frequent_urination,0.02
Asthma,weight_loss,0.02
Asthma,weight_gain,0.02
Asthma,high_blood_pressure,0.05
Asthma,nasal_congestion,0.25
Asthma,loss_of_smell,0.05
Asthma,loss_of_taste,0.02
Tuberculosis,fever,0.80
Tuberculosis,headache,0.20
Tuberculosis,cough,0.95
Tuberculosis,fatigue,0.80
Tuberculosis,weakness,0.70
Tuberculosis,nausea,0.10
Tuberculosis,vomiting,0.05
Tuberculosis,diarrhea,0.05
Tuberculosis,abdominal_pain,0.10
Tuberculosis,chest_pain,0.50
Tuberculosis,shortness_of_breath,0.55
Tuberculosis,sore_throat,0.10
Tuberculosis,runny_nose,0.05
Tuberculosis,sneezing,0.05
Tuberculosis,body_pain,0.25
Tuberculosis,chills,0.30
Tuberculosis,sweating,0.80
Tuberculosis,dizziness,0.10
Tuberculosis,joint_pain,0.15
Tuberculosis,muscle_pain,0.20
Tuberculosis,skin_rash,0.02
Tuberculosis,loss_of_appetite,0.70
Tuberculosis,wheezing,0.15
Tuberculosis,blurred_vision,0.05
Tuberculosis,excessive_thirst,0.10
Tuberculosis,frequent_urination,0.05
Tuberculosis,weight_loss,0.85
Tuberculosis,weight_gain,0.02
Tuberculosis,high_blood_pressure,0.05
Tuberculosis,nasal_congestion,0.05
Tuberculosis,loss_of_smell,0.05
Tuberculosis,loss_of_taste,0.05
COVID-19,fever,0.80
COVID-19,headache,0.60
COVID-19,cough,0.85
COVID-19,fatigue,0.80
COVID-19,weakness,0.50
COVID-19,nausea,0.15
COVID-19,vomiting,0.05
COVID-19,diarrhea,0.10
COVID-19,abdominal_pain,0.05
COVID-19,chest_pain,0.20
COVID-19,shortness_of_breath,0.50
COVID-19,sore_throat,0.50
COVID-19,runny_nose,0.40
COVID-19,sneezing,0.15
COVID-19,body_pain,0.50
COVID-19,chills,0.40
COVID-19,sweating,0.15
COVID-19,dizziness,0.15
COVID-19,joint_pain,0.20
COVID-19,muscle_pain,0.50
COVID-19,skin_rash,0.02
COVID-19,loss_of_appetite,0.40
COVID-19,wheezing,0.05
COVID-19,blurred_vision,0.05
COVID-19,excessive_thirst,0.10
COVID-19,frequent_urination,0.05
COVID-19,weight_loss,0.05
COVID-19,weight_gain,0.02
COVID-19,high_blood_pressure,0.10
COVID-19,nasal_congestion,0.35
COVID-19,loss_of_smell,0.75
COVID-19,loss_of_taste,0.70
